Step 5800 / 100000 Total loss: 0.1687, Mel loss: 0.1687, Stop loss: 0.0001
Step 5900 / 100000 Total loss: 0.1673, Mel loss: 0.1672, Stop loss: 0.0001
Step 6000 / 100000 Total loss: 0.1775, Mel loss: 0.1767, Stop loss: 0.0008
Step 6100 / 100000 Total loss: 0.1904, Mel loss: 0.1902, Stop loss: 0.0002
Step 6200 / 100000 Total loss: 0.1618, Mel loss: 0.1617, Stop loss: 0.0001
Step 6300 / 100000 Total loss: 0.1614, Mel loss: 0.1614, Stop loss: 0.0000
Step 6400 / 100000 Total loss: 0.1741, Mel loss: 0.1675, Stop loss: 0.0066
Step 6500 / 100000 Total loss: 0.1819, Mel loss: 0.1818, Stop loss: 0.0001
Step 6600 / 100000 Total loss: 0.1815, Mel loss: 0.1745, Stop loss: 0.0070
Step 6700 / 100000 Total loss: 0.1728, Mel loss: 0.1713, Stop loss: 0.0014
Step 6800 / 100000 Total loss: 0.1689, Mel loss: 0.1654, Stop loss: 0.0036
Step 6900 / 100000 Total loss: 0.1755, Mel loss: 0.1754, Stop loss: 0.0000
Step 7000 / 100000 Total loss: 0.1607, Mel loss: 0.1606, Stop loss: 0.0001
Step 7100 / 100000 Total loss: 0.1468, Mel loss: 0.1467, Stop loss: 0.0001
Step 7200 / 100000 Total loss: 0.1703, Mel loss: 0.1702, Stop loss: 0.0000
Step 7300 / 100000 Total loss: 0.1710, Mel loss: 0.1685, Stop loss: 0.0025
Step 7400 / 100000 Total loss: 0.1610, Mel loss: 0.1609, Stop loss: 0.0001
Step 7500 / 100000 Total loss: 0.1807, Mel loss: 0.1805, Stop loss: 0.0002
Step 7600 / 100000 Total loss: 0.1539, Mel loss: 0.1522, Stop loss: 0.0017
Step 7700 / 100000 Total loss: 0.1867, Mel loss: 0.1866, Stop loss: 0.0001
Step 7800 / 100000 Total loss: 0.1609, Mel loss: 0.1607, Stop loss: 0.0002
Step 7900 / 100000 Total loss: 0.1388, Mel loss: 0.1387, Stop loss: 0.0000
Step 8000 / 100000 Total loss: 0.2025, Mel loss: 0.1955, Stop loss: 0.0070
Step 8100 / 100000 Total loss: 0.1533, Mel loss: 0.1532, Stop loss: 0.0001
Step 8200 / 100000 Total loss: 0.1825, Mel loss: 0.1824, Stop loss: 0.0001
Step 8300 / 100000 Total loss: 0.1896, Mel loss: 0.1896, Stop loss: 0.0000
Step 8400 / 100000 Total loss: 0.1518, Mel loss: 0.1517, Stop loss: 0.0001
Step 8500 / 100000 Total loss: 0.1756, Mel loss: 0.1754, Stop loss: 0.0003
Step 8600 / 100000 Total loss: 0.1661, Mel loss: 0.1660, Stop loss: 0.0000
Step 8700 / 100000 Total loss: 0.1461, Mel loss: 0.1460, Stop loss: 0.0001
Step 8800 / 100000 Total loss: 0.1544, Mel loss: 0.1530, Stop loss: 0.0013
Step 8900 / 100000 Total loss: 0.1605, Mel loss: 0.1604, Stop loss: 0.0000
Step 9000 / 100000 Total loss: 0.1463, Mel loss: 0.1446, Stop loss: 0.0018
Step 9100 / 100000 Total loss: 0.1297, Mel loss: 0.1295, Stop loss: 0.0001
Step 9200 / 100000 Total loss: 0.1644, Mel loss: 0.1643, Stop loss: 0.0000
Step 9300 / 100000 Total loss: 0.1507, Mel loss: 0.1506, Stop loss: 0.0000
Step 9400 / 100000 Total loss: 0.1456, Mel loss: 0.1456, Stop loss: 0.0000
Step 9500 / 100000 Total loss: 0.1513, Mel loss: 0.1511, Stop loss: 0.0002
Step 9600 / 100000 Total loss: 0.1608, Mel loss: 0.1597, Stop loss: 0.0011
Step 9700 / 100000 Total loss: 0.1730, Mel loss: 0.1729, Stop loss: 0.0001
Step 9800 / 100000 Total loss: 0.1592, Mel loss: 0.1590, Stop loss: 0.0002
Step 9900 / 100000 Total loss: 0.1260, Mel loss: 0.1260, Stop loss: 0.0000
Step 10000 / 100000 Total loss: 0.1429, Mel loss: 0.1429, Stop loss: 0.0000
Step 10100 / 100000 Total loss: 0.1439, Mel loss: 0.1439, Stop loss: 0.0000
Step 10200 / 100000 Total loss: 0.1609, Mel loss: 0.1608, Stop loss: 0.0001
Step 10300 / 100000 Total loss: 0.1486, Mel loss: 0.1486, Stop loss: 0.0000
Step 10400 / 100000 Total loss: 0.1479, Mel loss: 0.1477, Stop loss: 0.0002
Step 10500 / 100000 Total loss: 0.1579, Mel loss: 0.1579, Stop loss: 0.0000
Step 10600 / 100000 Total loss: 0.1594, Mel loss: 0.1593, Stop loss: 0.0000
Step 10700 / 100000 Total loss: 0.1553, Mel loss: 0.1515, Stop loss: 0.0039
Step 10800 / 100000 Total loss: 0.1444, Mel loss: 0.1443, Stop loss: 0.0001
Step 10900 / 100000 Total loss: 0.1351, Mel loss: 0.1351, Stop loss: 0.0000
Step 11000 / 100000 Total loss: 0.1572, Mel loss: 0.1572, Stop loss: 0.0000
Step 11100 / 100000 Total loss: 0.1559, Mel loss: 0.1559, Stop loss: 0.0000
Step 11200 / 100000 Total loss: 0.1538, Mel loss: 0.1538, Stop loss: 0.0000
Step 11300 / 100000 Total loss: 0.1698, Mel loss: 0.1698, Stop loss: 0.0000
Step 11400 / 100000 Total loss: 0.1509, Mel loss: 0.1508, Stop loss: 0.0001
Step 11500 / 100000 Total loss: 0.1381, Mel loss: 0.1373, Stop loss: 0.0008
Step 11600 / 100000 Total loss: 0.1620, Mel loss: 0.1600, Stop loss: 0.0020
Step 11700 / 100000 Total loss: 0.1387, Mel loss: 0.1363, Stop loss: 0.0024
